Company,Year,Revenue,NetIncome,Assets,Liabilities,CashFlow
Apple,2000,142371.05,33172.24,384019.84,145163.08,29125.13
Apple,2000,120078.27,32006.15,324479.1,212221.1,25934.33
Apple,2000,142850.44,36871.22,274941.13,107477.92,32878.15
Apple,2000,126225.89,22870.76,298384.13,132964.32,25293.37
Apple,2000,122111.43,15024.12,272641.07,143964.03,17917.59
Apple,2000,123614.37,22072.41,331883.47,107273.1,24362.92
Apple,2000,122886.38,8142.81,417539.8,326856.84,9805.56
Apple,2000,126235.17,9394.17,362101.3,188320.29,8088.56
Apple,2000,130994.34,7675.89,434723.17,186665.78,8683.44
Apple,2000,126412.42,22756.39,327840.57,128653.57,29237.23
Apple,2000,137986.03,39308.73,453926.39,271879.21,49565.84
Apple,2000,120837.71,11962.42,192186.88,88918.18,11894.69
Apple,2000,125404.41,32252.05,277583.49,122266.44,34553.18
Apple,2000,122147.15,30603.88,201433.02,159825.71,36299.94
Apple,2000,123590.45,6350.14,386952.15,252845.63,7394.76
Apple,2000,137889.57,9446.97,305691.72,109417.62,11634.44
Apple,2000,134194.07,17810.84,218349.42,99456.23,17144.57
Apple,2000,136849.04,28654.73,448101.97,240230.81,24637.26
Apple,2000,136440.42,32772.48,357822.43,245281.4,34309.44
Apple,2000,131682.53,20659.05,204218.31,72282.19,16851.89
Apple,2001,141859.23,18241.54,357079.74,269160.72,16866.97
Apple,2001,135906.46,32466.39,266049.98,90055.25,30676.71
Apple,2001,129344.41,36530.02,403068.32,248572.99,45141.25
Apple,2001,146264.32,14135.35,480495.54,273724.44,17015.01
Apple,2001,148698.32,19256.56,255776.55,105883.2,19517.56
Apple,2001,146642.05,38886.93,222002.03,123294.08,39225.46
Apple,2001,130947.95,10471.43,284841.95,219742.7,10069.34
Apple,2001,138761.54,31326.07,309057.91,242885.84,40135.71
Apple,2001,131729.47,22962.04,276863.28,122489.92,18793.14
Apple,2001,141152.2,24796.17,226260.98,99401.7,31097.7
Apple,2001,131407.63,11330.45,325747.09,258260.51,10435.66
Apple,2001,142800.11,34329.85,282069.49,187324.65,33776.85
Apple,2001,141751.13,29538.44,364520.03,125812.22,35967.52
Apple,2001,133546.63,12904.56,211210.71,125764.67,14695.48
Apple,2001,125535.27,22348.2,245169.32,152639.08,19826.95
Apple,2001,143295.29,21019.1,483400.92,178259.15,20399.74
Apple,2001,128086.9,36014.63,416881.71,178830.08,40696.24
Apple,2001,146621.18,27682.11,375247.76,157951.59,23434.33
Apple,2001,148727.93,40915.73,411411.64,193163.89,39876.66
Apple,2001,144217.54,39555.64,472193.15,325783.89,44342.49
Apple,2002,139433.55,12605.79,459727.54,277314.33,10142.6
Apple,2002,139933.46,30208.2,211316.76,80385.75,32454.69
Apple,2002,156963.35,33431.67,305849.14,200664.45,30711.16
Apple,2002,146392.33,34639.77,409791.05,296939.39,39101.6
Apple,2002,153398.68,11262.33,342912.25,148344.25,10383.81
Apple,2002,165071.7,24475.91,542110.83,333706.79,29307.6
Apple,2002,151504.48,29426.1,376493.99,149702.1,34170.36
Apple,2002,145105.12,8137.35,404980.36,157357.28,10336.3
Apple,2002,164521.31,45854.74,368579.95,113422.49,57967.69
Apple,2002,149357.0,43562.01,511882.26,371884.88,41263.01
Apple,2002,148114.23,38922.08,316052.67,121600.12,41973.59
Apple,2002,164008.65,36739.16,433002.9,150939.72,40688.75
Apple,2002,165563.29,14076.36,419977.66,310231.84,16474.75
Apple,2002,157111.04,35447.55,348626.62,155764.95,42702.98
Apple,2002,160373.18,42782.44,533478.34,296438.55,44954.0
Apple,2002,160032.3,34005.42,464723.19,324328.61,42336.84
Apple,2002,146755.63,21117.51,247718.2,145940.72,17273.51
Apple,2002,150436.14,27930.15,311866.54,185690.52,22770.06
Apple,2002,138083.92,35301.17,306598.94,111457.99,37458.84
Apple,2002,159215.98,16551.34,437172.2,149807.43,13668.77
Apple,2003,168175.21,31139.12,466662.63,309418.63,40104.88
Apple,2003,167695.83,21924.41,518242.57,225651.17,22351.62
Apple,2003,153753.48,8662.12,526651.31,378130.41,9944.0
Apple,2003,164277.55,15330.97,297814.51,126607.34,16474.86
Apple,2003,174010.2,37420.78,358438.0,278661.4,43742.96
Apple,2003,168907.58,34276.45,395108.64,167472.92,33521.9
Apple,2003,175387.42,9400.48,303796.49,98126.67,7711.82
Apple,2003,178495.78,40324.78,437019.72,152483.64,42171.97
Apple,2003,166332.03,15518.86,393824.9,196618.02,17193.73
Apple,2003,171478.59,10516.1,385693.97,236403.39,11058.39
Apple,2003,178528.55,38325.33,325969.72,109292.55,42970.73
Apple,2003,152099.38,29879.0,514165.96,302194.4,29702.26
Apple,2003,171739.53,28262.01,445017.24,342989.21,28065.63
Apple,2003,181862.56,50255.47,344007.99,115132.82,42736.7
Apple,2003,151835.42,11176.72,435162.37,146038.02,10723.92
Apple,2003,178158.71,9944.46,557447.37,245793.81,8543.11
Apple,2003,173441.52,35943.28,564542.43,376852.13,43194.49
Apple,2003,160236.06,15119.86,480905.19,338277.07,19584.03
Apple,2003,164394.24,23509.12,501867.01,236079.13,29747.94
Apple,2003,178589.78,28082.98,536080.48,363072.0,23914.39
Apple,2004,201897.64,35597.2,636566.09,292836.19,44416.82
Apple,2004,183561.78,9675.43,607729.74,210057.74,9285.1
Apple,2004,203594.57,58564.34,538889.53,331912.09,59982.93
Apple,2004,180133.18,23807.51,512485.56,346536.21,28468.77
Apple,2004,197863.84,14404.79,492451.56,161907.92,15481.76
Apple,2004,185430.86,50423.48,408287.24,146384.66,43943.85
Apple,2004,196859.9,40268.58,335103.85,114623.41,46328.38
Apple,2004,172259.24,44006.21,501702.36,170917.15,37071.66
Apple,2004,204901.04,29417.17,459241.49,324408.09,37466.42
Apple,2004,204878.24,48831.61,461492.16,157715.11,58039.96
Apple,2004,189605.35,29588.96,628107.32,223354.17,30959.3
Apple,2004,170065.82,28429.08,274249.26,98567.64,24413.85
Apple,2004,192848.76,45610.9,514277.03,401694.73,45037.81
Apple,2004,179865.35,48050.99,350232.31,273745.52,38732.81
Apple,2004,204302.39,12419.54,670578.91,378106.29,16101.71
Apple,2004,172296.16,32471.55,592458.44,332694.4,36196.01
Apple,2004,194511.02,31828.86,535900.45,317337.28,39804.51
Apple,2004,171283.55,20595.27,582505.02,434043.07,21168.4
Apple,2004,191810.16,22891.64,359882.35,191403.14,22357.72
Apple,2004,190507.3,13227.62,657019.59,521085.77,15199.6
Apple,2005,201407.99,25655.73,629921.62,404639.97,22610.61
Apple,2005,215689.59,55137.66,733258.29,486047.41,61021.27
Apple,2005,196917.6,55763.54,636462.86,205328.86,45345.99
Apple,2005,195325.74,49346.77,678669.48,254642.52,54136.63
Apple,2005,195494.43,57177.94,622500.77,447680.36,59141.8
Apple,2005,196787.16,23290.11,317368.69,232428.51,28098.36
Apple,2005,219072.64,65537.6,571968.73,391509.0,83388.92
Apple,2005,213354.74,23860.96,512283.56,186768.19,30471.05
Apple,2005,204078.07,21869.15,580275.87,353425.21,21411.68
Apple,2005,185308.64,40377.51,470798.0,323042.37,42803.46
Apple,2005,213451.29,40123.87,559642.81,413199.29,40193.74
Apple,2005,186088.11,10643.43,560176.29,341794.24,12261.66
Apple,2005,189096.18,15901.64,289144.95,137428.8,17411.64
Apple,2005,195927.0,31224.64,648188.72,307324.25,33004.28
Apple,2005,210840.26,31443.81,578582.23,423048.83,40083.32
Apple,2005,186585.65,52551.27,463522.15,198907.64,54105.1
Apple,2005,218322.61,37803.55,471031.72,290485.47,34782.02
Apple,2005,183872.44,15117.98,322896.86,121393.51,13143.78
Apple,2005,205400.2,19609.56,450100.55,336852.64,20334.74
Apple,2005,206416.86,19213.27,389008.68,124651.73,16993.52
Apple,2006,207597.16,19566.58,348224.53,125471.55,20161.19
Apple,2006,204614.17,28864.4,512933.86,330943.6,23658.88
Apple,2006,229098.37,47417.66,381109.28,280797.24,59766.93
Apple,2006,198617.52,23679.06,618177.68,416732.02,21127.89
Apple,2006,204738.66,29199.42,505509.17,307919.48,28745.57
Apple,2006,215191.01,50971.81,338574.3,144306.62,58957.8
Apple,2006,233053.17,41464.67,597601.23,211303.43,42447.64
Apple,2006,218084.25,24123.96,444561.8,217231.6,19541.27
Apple,2006,209392.53,21538.53,451239.79,162392.66,26821.15
Apple,2006,220601.51,48482.83,679087.01,372968.91,40893.33
Apple,2006,218269.58,42935.87,652817.9,336742.91,37087.58
Apple,2006,207811.24,29253.71,580174.59,339627.91,28611.54
Apple,2006,236822.69,47706.44,467595.41,164075.13,41811.33
Apple,2006,206249.98,18597.63,386333.86,170971.12,16490.27
Apple,2006,233117.52,16331.85,594221.86,300199.94,21087.51
Apple,2006,200721.36,30000.6,690268.88,505796.98,36256.8
Apple,2006,206743.11,19169.61,586589.43,448557.9,20672.16
Apple,2006,219694.11,26362.15,667647.31,262733.82,25356.16
Apple,2006,213659.47,37796.91,424075.47,151572.38,41777.31
Apple,2006,208011.66,40626.66,376235.98,203381.9,43320.0
Apple,2007,199767.05,26798.96,353353.83,117203.04,34704.13
Apple,2007,211021.75,53276.37,424002.05,271679.89,62872.18
Apple,2007,222391.04,37338.13,516766.01,245171.43,47223.95
Apple,2007,232166.78,67620.14,405965.54,270143.17,85821.46
Apple,2007,205150.79,13667.98,611809.17,359276.71,16687.43
Apple,2007,203425.93,50615.8,387171.35,147832.85,44649.86
Apple,2007,231499.28,50073.13,589427.46,282580.51,62020.6
Apple,2007,213937.71,54372.24,508801.59,248535.44,56076.26
Apple,2007,210149.1,49784.81,526516.12,219086.7,62220.43
Apple,2007,213581.84,39702.35,707584.74,433126.06,34082.44
Apple,2007,236710.28,48981.75,513616.63,189851.21,58631.77
Apple,2007,223407.55,40965.19,734516.02,509973.45,35878.84
Apple,2007,210579.44,23610.65,629188.75,199305.74,25616.25
Apple,2007,229331.13,61733.97,500896.69,355951.54,52802.05
Apple,2007,232825.46,19061.92,534235.39,373242.32,16678.4
Apple,2007,207148.47,47760.8,609031.63,377949.08,54780.41
Apple,2007,220189.68,24870.37,482521.89,188569.01,31193.05
Apple,2007,221881.53,33329.46,537843.41,416098.08,29219.13
Apple,2007,221999.6,39176.75,604484.6,186819.04,48424.89
Apple,2007,236389.37,45217.34,683945.75,520653.49,52163.59
Apple,2008,231781.62,44982.34,628923.23,322049.78,52549.37
Apple,2008,268744.79,75622.67,645438.64,230175.7,97736.29
Apple,2008,264231.22,21446.5,882977.17,648942.47,22720.83
Apple,2008,252524.15,37815.66,406443.49,190052.42,45432.75
Apple,2008,224788.89,29981.17,516191.14,293556.77,37774.11
Apple,2008,240944.4,32946.33,716810.2,377120.28,30057.01
Apple,2008,245960.28,20959.32,455708.8,250267.93,21157.65
Apple,2008,267821.87,37655.35,712721.32,439130.51,30370.82
Apple,2008,255940.54,24188.68,875864.51,327863.56,24365.55
Apple,2008,228605.05,68402.87,572516.21,342188.65,57016.41
Apple,2008,260026.44,26646.57,857075.37,345032.68,23857.85
Apple,2008,226297.89,38021.83,595091.55,198078.79,45160.96
Apple,2008,246000.43,44550.08,585856.3,293151.67,48106.07
Apple,2008,231909.33,22143.17,747576.24,577919.59,21847.67
Apple,2008,237370.13,50085.07,550097.77,172011.82,43978.51
Apple,2008,258419.54,55490.68,401633.59,165065.81,50803.8
Apple,2008,256335.56,14079.91,437876.8,306495.39,12520.87
Apple,2008,255430.35,27981.3,433946.22,182945.69,32490.02
Apple,2008,265025.41,68258.61,608065.57,385539.46,61602.86
Apple,2008,238429.3,65349.65,363844.03,124709.09,59072.36
Apple,2009,227773.05,21720.18,607261.88,310136.1,27070.64
Apple,2009,265488.34,35961.55,535980.3,262547.91,39383.2
Apple,2009,239290.68,49302.79,554872.81,319619.83,50193.36
Apple,2009,240549.69,69065.02,728194.81,269473.29,85242.4
Apple,2009,249751.41,68341.49,774157.08,396838.15,55440.99
Apple,2009,239319.95,44371.97,662187.87,284041.41,38589.32
Apple,2009,266322.2,78858.15,679489.24,262173.89,73823.35
Apple,2009,227384.81,63343.66,394626.83,232142.49,59354.75
Apple,2009,252934.29,53838.35,799141.75,322222.45,43366.68
Apple,2009,233035.35,64085.81,756847.57,453129.6,70510.95
Apple,2009,258220.68,24232.16,859571.18,437852.89,24027.86
Apple,2009,251252.87,15512.73,460437.66,308040.53,13052.4
Apple,2009,255269.66,28421.03,581655.22,258456.67,27791.12
Apple,2009,260796.16,32411.86,686626.55,369422.39,36684.89
Apple,2009,271181.37,63224.04,523347.71,165164.12,58869.93
Apple,2009,254884.64,16021.14,635359.22,380212.57,15494.4
Apple,2009,263269.45,20179.49,434467.14,288527.18,21142.97
Apple,2009,259334.9,41158.22,516803.64,366698.62,49377.84
Apple,2009,259635.04,30646.35,695941.67,334390.89,25920.41
Apple,2009,270250.72,22756.37,918980.75,480629.59,20311.57
Apple,2010,286028.01,76723.14,847915.68,596322.62,86650.48
Apple,2010,294155.84,77156.76,588116.36,320354.32,70259.31
Apple,2010,310121.79,88699.43,489636.91,319628.89,111994.05
Apple,2010,266498.31,51164.03,887699.64,281376.81,58772.64
Apple,2010,272809.94,76686.62,939043.61,725066.79,79532.23
Apple,2010,303331.72,79211.24,648584.17,463385.98,64834.7
Apple,2010,288966.66,31064.55,503129.61,170297.6,35666.59
Apple,2010,275108.48,63602.79,448622.88,205310.1,68038.81
Apple,2010,299476.89,38838.6,824095.34,612293.67,43030.51
Apple,2010,269329.68,15109.45,872681.43,271085.14,18695.69
Apple,2010,285327.32,81251.78,883820.33,706143.32,79249.41
Apple,2010,298204.83,44874.68,733509.69,450193.58,55502.73
Apple,2010,309928.04,75023.77,723847.34,369653.28,87687.12
Apple,2010,269644.13,20929.38,595709.75,264268.46,19844.28
Apple,2010,269364.72,16302.84,413676.3,328401.56,16529.23
Apple,2010,277511.1,61027.97,537402.4,416476.43,72816.9
Apple,2010,261570.87,40385.28,852259.77,658256.48,41746.3
Apple,2010,289893.16,26600.16,1009505.76,419788.69,33818.53
Apple,2010,291851.68,58934.84,737035.53,306116.58,52349.69
Apple,2010,268655.5,25954.69,821862.56,390436.19,21514.4
Apple,2011,307293.67,83260.14,1031125.33,822274.92,73847.38
Apple,2011,276513.24,66241.41,799687.7,301440.64,80014.09
Apple,2011,267282.16,28319.72,687970.61,410353.81,30869.72
Apple,2011,260138.41,70072.24,528393.17,192735.35,87196.08
Apple,2011,306570.93,81404.36,956204.59,600134.07,87544.59
Apple,2011,259896.62,39533.73,583565.9,250861.49,45926.74
Apple,2011,281866.67,19804.39,546924.62,350922.91,16597.37
Apple,2011,300959.01,52302.65,740712.23,441615.51,63408.62
Apple,2011,273910.9,60124.55,720786.64,312471.2,74513.25
Apple,2011,298069.3,63969.53,954168.55,700022.99,73832.45
Apple,2011,300196.37,67354.42,858646.14,523177.98,79232.93
Apple,2011,263744.75,71268.5,855505.43,269162.23,86442.16
Apple,2011,262147.04,35069.96,783037.55,297851.78,42399.0
Apple,2011,299934.21,53048.44,453732.0,201238.79,58802.26
Apple,2011,307942.94,64037.78,621923.76,383728.73,68519.95
Apple,2011,297124.67,22802.88,897927.35,512387.24,29221.8
Apple,2011,273591.89,56949.65,920378.5,323287.43,72247.14
Apple,2011,292183.58,19564.4,614148.6,401706.03,16310.36
Apple,2011,286503.38,39099.34,785543.87,253629.35,48317.72
Apple,2011,307529.36,89866.06,922373.93,336706.26,105963.92
Apple,2012,293665.13,16307.49,630563.77,343229.48,19327.69
Apple,2012,334179.57,53961.87,684150.23,546336.55,54668.27
Apple,2012,319915.84,29082.26,988418.09,639349.46,26476.04
Apple,2012,297219.81,65425.46,834897.1,364540.93,83445.71
Apple,2012,301443.84,47653.36,1021060.16,520601.47,53336.64
Apple,2012,316607.28,37535.0,1097979.89,554114.22,46808.0
Apple,2012,306296.45,31633.13,478517.19,299472.05,31135.32
Apple,2012,345316.0,58117.54,1186639.35,466067.74,71735.15
Apple,2012,339918.16,82508.49,1084191.55,737805.35,91841.04
Apple,2012,300225.22,17452.56,1003261.32,610309.1,20912.85
Apple,2012,321769.34,25525.01,563215.91,362025.41,25911.79
Apple,2012,304486.34,52645.27,495830.99,293029.03,49196.83
Apple,2012,341207.46,43534.83,822460.2,251516.78,36404.84
Apple,2012,316293.55,53765.07,854005.58,380742.41,61694.93
Apple,2012,345055.47,84525.74,544924.58,294397.4,72055.24
Apple,2012,307040.08,91088.24,548063.8,301130.41,101023.96
Apple,2012,335358.61,63688.68,509591.39,236058.35,67437.13
Apple,2012,297557.19,40960.75,466095.44,158141.17,40897.74
Apple,2012,300315.69,57626.14,864587.82,605465.1,51867.85
Apple,2012,302454.05,23029.44,838662.89,547846.36,18787.26
Apple,2013,343963.59,21667.24,888317.84,581430.9,26769.54
Apple,2013,330527.05,82774.56,720185.51,509468.27,69535.38
Apple,2013,341459.53,63818.14,1070337.53,563167.88,71590.47
Apple,2013,319173.87,74334.76,530869.12,175280.27,68651.99
Apple,2013,296982.34,79575.2,575678.87,453596.16,77064.43
Apple,2013,298347.81,73818.6,840569.76,461555.05,79552.95
Apple,2013,330836.45,35437.11,1155501.82,909838.18,39872.52
Apple,2013,299401.83,65885.49,492335.42,155246.28,61197.17
Apple,2013,315315.79,84210.8,931549.45,625398.76,85284.2
Apple,2013,308257.24,44006.71,1071286.11,342870.04,54282.97
Apple,2013,322335.89,51462.17,951056.99,516742.05,63643.86
Apple,2013,341815.53,53128.47,701971.38,418497.91,66739.01
Apple,2013,300074.48,61737.82,829141.92,552669.94,53451.6
Apple,2013,330632.18,91670.46,614766.31,257446.71,117860.49
Apple,2013,298278.79,78625.18,741090.27,313937.35,97131.58
Apple,2013,314268.22,56161.1,697193.6,415858.85,49520.72
Apple,2013,310988.19,90918.35,627035.18,394009.05,87517.56
Apple,2013,334119.36,27637.82,1149251.03,605534.36,25372.22
Apple,2013,291777.23,26971.73,740982.24,347151.36,32755.6
Apple,2013,313396.08,35156.32,856915.77,559899.0,31061.35
Apple,2014,308232.52,18237.46,916314.88,579021.45,18918.0
Apple,2014,350638.22,88156.6,936452.56,687483.2,79598.41
Apple,2014,304741.31,35788.03,491905.42,278214.21,45390.06
Apple,2014,300192.3,24173.73,721781.79,553561.53,23160.32
Apple,2014,329519.36,19900.73,592042.95,469676.59,25523.87
Apple,2014,298035.91,85820.32,828015.26,607729.37,88169.22
Apple,2014,330043.44,56837.32,935253.49,345880.71,46321.67
Apple,2014,317027.09,71702.08,603526.66,384275.21,92134.02
Apple,2014,303611.9,66233.1,724873.55,532108.75,58853.07
Apple,2014,341139.53,88535.54,1156199.8,741845.56,92837.25
Apple,2014,336452.46,89908.93,888644.8,280095.09,113777.44
Apple,2014,340945.28,74710.77,658484.76,414478.45,74481.58
Apple,2014,338545.05,25948.89,953238.13,762311.07,21384.64
Apple,2014,358974.79,54466.16,1163619.27,804285.19,59014.53
Apple,2014,344011.7,92755.49,794075.54,368067.18,105165.87
Apple,2014,348361.43,83805.76,1078397.15,558385.05,101314.21
Apple,2014,305260.89,56815.85,461407.12,213305.24,55863.09
Apple,2014,322558.07,72210.04,734502.22,385133.9,66344.57
Apple,2014,321121.41,34301.36,528691.67,318126.62,38901.39
Apple,2014,336555.45,55825.63,760471.12,556411.49,59149.54
Apple,2015,351981.93,19855.48,768199.04,376492.66,19843.8
Apple,2015,358779.71,65800.43,974377.6,664955.84,79387.75
Apple,2015,368065.32,106327.05,565519.55,225014.0,85463.71
Apple,2015,363309.91,99731.34,721883.92,551170.84,82790.35
Apple,2015,382625.58,52766.24,651550.78,353750.3,48987.56
Apple,2015,338902.78,42980.5,1052649.6,599568.83,41074.48
Apple,2015,360809.91,82639.06,737945.75,373972.12,71147.52
Apple,2015,331921.04,73115.39,618327.97,347859.99,84413.41
Apple,2015,326921.68,62712.75,658134.39,514307.96,65332.44
Apple,2015,373979.91,70142.41,593440.7,365901.11,89480.8
Apple,2015,360222.82,91783.77,1177356.94,487472.73,83158.16
Apple,2015,360853.47,55122.94,1147413.95,860573.73,53839.16
Apple,2015,335671.69,82283.66,687996.75,489377.02,83260.3
Apple,2015,364661.19,26942.56,1001986.35,526928.43,29456.42
Apple,2015,331036.9,77534.94,1067790.68,436053.57,65738.57
Apple,2015,321318.82,67635.32,872119.7,500028.7,61952.17
Apple,2015,346039.99,68730.14,862862.37,685020.19,59672.88
Apple,2015,366518.61,55373.52,863664.18,568981.0,63470.13
Apple,2015,386450.2,31727.01,660141.69,437125.63,34556.85
Apple,2015,338181.73,23623.63,565208.71,422264.85,21165.21
Apple,2016,343144.31,36601.18,758346.4,253827.58,38780.04
Apple,2016,325845.71,81490.47,641076.72,365417.55,101051.4
Apple,2016,365295.61,66936.57,784898.81,366156.05,75955.83
Apple,2016,388512.6,83708.85,1016180.67,676090.66,86437.99
Apple,2016,325340.45,62001.5,1111119.16,430726.98,70991.87
Apple,2016,334863.06,61600.38,567041.34,297801.87,72570.28
Apple,2016,344781.11,74551.31,1065683.91,813744.42,68387.48
Apple,2016,348280.91,30684.94,1213747.49,926696.8,32832.23
Apple,2016,378224.7,68171.03,1039048.07,358016.7,80280.6
Apple,2016,329910.72,84627.68,1010864.97,661482.09,69232.23
Apple,2016,341775.14,39570.09,758834.05,260903.36,50193.83
Apple,2016,358729.8,45336.66,822912.91,430878.24,49883.8
Apple,2016,356151.32,99668.23,888215.37,707089.61,122164.59
Apple,2016,335375.53,94793.49,581116.19,411851.48,93875.1
Apple,2016,380655.62,101640.45,1184543.49,823275.75,96796.22
Apple,2016,326745.73,49255.3,603515.38,390761.45,47927.86
Apple,2016,387259.35,81418.58,1217915.61,446076.62,100226.86
Apple,2016,383684.57,65903.76,1040746.65,710210.61,58484.27
Apple,2016,355264.38,53170.91,636899.5,308111.09,44349.12
Apple,2016,323018.47,27066.23,1106735.63,636112.65,34723.56
Apple,2017,334808.5,42840.1,841133.96,437184.29,36535.42
Apple,2017,348267.29,36223.12,953965.37,596324.28,31731.91
Apple,2017,310830.96,76212.77,752086.84,247498.17,98880.97
Apple,2017,310600.38,69499.57,1076962.67,451882.82,60542.79
Apple,2017,314709.46,39596.36,535664.33,346082.37,32910.35
Apple,2017,339778.09,101652.84,1062805.68,645771.06,96888.05
Apple,2017,347173.52,63102.39,816610.01,298352.71,78455.33
Apple,2017,335925.29,33140.92,750967.28,380789.13,40225.42
Apple,2017,354261.74,85846.91,539208.52,273959.45,89338.48
Apple,2017,308107.44,35417.97,930663.05,343000.38,37814.17
Apple,2017,320770.38,17010.52,635896.14,501046.02,20425.69
Apple,2017,368859.74,63430.42,634244.14,364043.29,65155.0
Apple,2017,361416.13,26932.96,895040.64,335662.02,25918.61
Apple,2017,354503.53,59912.7,798262.75,396926.69,61693.51
Apple,2017,357582.51,97627.6,1219595.72,845730.72,93498.29
Apple,2017,351323.59,56001.25,705928.97,508576.5,45876.97
Apple,2017,365124.7,60380.44,1013003.04,637864.68,75328.15
Apple,2017,347998.76,70811.97,568387.79,317844.73,61966.46
Apple,2017,354508.49,63122.18,1014055.78,325346.06,53173.87
Apple,2017,353144.68,24021.28,580044.89,177525.2,30705.22
Apple,2018,387576.88,53606.86,811225.98,385211.97,63648.86
Apple,2018,382199.35,36805.37,706387.97,246669.14,41595.64
Apple,2018,389474.27,45280.91,600526.46,204831.07,58137.51
Apple,2018,356354.4,86346.73,979734.81,481020.22,77957.6
Apple,2018,344060.84,70103.51,1049133.56,652510.85,74670.83
